iter	Passed	Remaining
1057	158108	140772
1058	158249	140616
1059	158414	140481
1060	158554	140322
1061	158696	140167
1062	158842	140014
1063	158993	139866
1064	159129	139705
1065	159293	139568
1066	159462	139435
1067	159621	139295
1068	159770	139144
1069	159930	139004
1070	160074	138850
1071	160209	138688
1072	160329	138513
1073	160474	138360
1074	160624	138211
1075	160770	138059
1076	160923	137913
1077	161074	137765
1078	161213	137607
1079	161363	137458
1080	161507	137303
1081	161656	137154
1082	161799	136999
1083	161952	136852
1084	162092	136695
1085	162251	136554
1086	162389	136395
1087	162540	136246
1088	162666	136078
1089	162831	135942
1090	162982	135794
1091	163126	135640
1092	163281	135495
1093	163420	135336
1094	163580	135196
1095	163706	135028
1096	163894	134910
1097	164033	134752
1098	164184	134604
1099	164329	134451
1100	164482	134305
1101	164634	134157
1102	164774	134000
1103	164922	133850
1104	165073	133701
1105	165233	133561
1106	165372	133403
1107	165540	133269
1108	165692	133121
1109	165838	132969
1110	165979	132813
1111	166133	132667
1112	166301	132533
1113	166461	132392
1114	166615	132246
1115	166771	132102
1116	166935	131963
1117	167085	131814
1118	167254	131681
1119	167400	131529
1120	167570	131395
1121	167743	131264
1122	167898	131119
1123	168054	130974
1124	168196	130819
1125	168334	130660
1126	168481	130509
1127	168653	130377
1128	168818	130239
1129	168965	130088
1130	169101	129928
1131	169259	129785
1132	169420	129645
1133	169544	129475
1134	169683	129318
1135	169844	129177
1136	169993	129027
1137	170131	128869
1138	170265	128708
1139	170419	128562
1140	170554	128401
1141	170712	128258
1142	170855	128104
1143	171023	127968
1144	171179	127824
1145	171334	127678
1146	171483	127528
1147	171631	127378
1148	171780	127227
1149	171935	127082
1150	172119	126958
1151	172267	126808
1152	172408	126652
1153	172548	126496
1154	172693	126342
1155	172839	126190
1156	172999	126049
1157	173131	125886
1158	173251	125715
1159	173405	125569
1160	173565	125427
1161	173716	125279
1162	173885	125143
1163	174032	124992
1164	174171	124835
1165	174318	124684
1166	174453	124524
1167	174593	124368
1168	174739	124216
1169	174891	124068
1170	175027	123909
1171	175197	123774
1172	175350	123627
1173	175509	123484
1174	175667	123340
1175	175817	123191
1176	175976	123049
1177	176135	122905
1178	176284	122756
1179	176427	122601
1180	176581	122455
1181	176712	122293
1182	176852	122137
1183	177010	121993
1184	177171	121852
1185	177309	121694
1186	177457	121543
1187	177597	121388
1188	177751	121241
1189	177898	121090
1190	178053	120944
1191	178212	120802
1192	178349	120643
1193	178511	120502
1194	178691	120374
1195	178838	120222
1196	178988	120073
1197	179146	119929
1198	179302	119784
1199	179476	119650
1200	179628	119503
1201	179799	119367
1202	179976	119236
1203	180140	119096
1204	180303	118955
1205	180449	118803
1206	180600	118654
1207	180775	118521
1208	180917	118366
1209	181069	118218
1210	181236	118080
1211	181384	117929
1212	181532	117779
1213	181667	117619
1214	181826	117476
1215	181969	117322
1216	182132	117181
1217	182272	117025
1218	182431	116882
1219	182579	116731
1220	182721	116576
1221	182876	116430
1222	183033	116285
1223	183187	116138
1224	183333	115986
1225	183463	115824
1226	183595	115663
1227	183738	115509
1228	183884	115358
1229	184048	115217
1230	184199	115068
1231	184350	114919
1232	184510	114776
1233	184648	114619
1234	184817	114482
1235	184987	114344
1236	185142	114198
1237	185264	114032
1238	185401	113874
1239	185536	113715
1240	185639	113537
1241	185790	113389
1242	185944	113242
1243	186093	113092
1244	186253	112949
1245	186410	112803
1246	186559	112653
1247	186707	112503
1248	186859	112355
1249	187023	112214
1250	187166	112060
1251	187313	111909
1252	187456	111755
1253	187604	111604
1254	187781	111471
1255	187930	111322
1256	188070	111166
1257	188199	111005
1258	188349	110855
1259	188498	110705
1260	188652	110558
1261	188780	110396
1262	188947	110256
1263	189100	110108
1264	189248	109958
1265	189403	109812
1266	189544	109657
1267	189694	109508
1268	189848	109360
1269	189996	109210
1270	190151	109064
1271	190295	108911
1272	190447	108763
1273	190592	108610
1274	190769	108476
1275	190916	108325
1276	191066	108176
1277	191233	108036
1278	191383	107887
1279	191533	107737
1280	191695	107594
1281	191849	107447
1282	192042	107322
1283	192208	107181
1284	192348	107026
1285	192501	106878
1286	192649	106728
1287	192815	106587
1288	192962	106436
1289	193110	106285
1290	193261	106136
1291	193407	105984
1292	193560	105837
1293	193724	105694
1294	193878	105547
1295	194035	105401
1296	194186	105252
1297	194352	105112
1298	194506	104964
1299	194659	104816
1300	194817	104671
1301	194961	104518
1302	195127	104377
1303	195291	104235
1304	195459	104095
1305	195620	103951
1306	195777	103805
1307	195937	103660
1308	196090	103512
1309	196236	103361
1310	196401	103219
1311	196540	103063
1312	196704	102921
1313	196870	102780
1314	197023	102631
1315	197190	102491
1316	197326	102333
1317	197477	102184
1318	197645	102044
1319	197813	101904
1320	197972	101759
1321	198128	101612
1322	198268	101457
1323	198410	101303
1324	198561	101154
1325	198720	101008
1326	198883	100865
1327	199029	100713
1328	199170	100559
1329	199309	100404
1330	199466	100257
1331	199631	100115
1332	199757	99953
1333	199899	99799
1334	200046	99648
1335	200196	99498
1336	200346	99348
1337	200487	99194
1338	200636	99044
1339	200779	98891
1340	200938	98745
1341	201096	98600
1342	201243	98448
1343	201409	98306
1344	201555	98155
1345	201688	97997
1346	201854	97855
1347	202015	97710
1348	202170	97563
1349	202314	97410
1350	202477	97267
1351	202634	97120
1352	202773	96965
1353	202929	96818
1354	203070	96664
1355	203230	96519
1356	203399	96378
1357	203562	96234
1358	203726	96091
1359	203888	95947
1360	204049	95802
1361	204204	95655
1362	204349	95503
1363	204504	95355
1364	204640	95199
1365	204779	95044
1366	204935	94897
1367	205079	94744
1368	205233	94596
1369	205375	94442
1370	205527	94293
1371	205675	94142
1372	205814	93987
1373	205961	93836
1374	206110	93686
1375	206257	93535
1376	206407	93385
1377	206551	93232
